x,y,z
-1.454289902315299976e+00,-1.456453134450030051e-01,-5.999999999999999778e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.009803921568627194e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.019607843137254610e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.029411764705882026e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.039215686274509443e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.049019607843136859e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.058823529411764275e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.068627450980391691e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.078431372549019107e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.088235294117646523e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.098039215686273939e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.107843137254901356e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.117647058823528772e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.127450980392157298e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.137254901960784714e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.147058823529412130e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.156862745098039547e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.166666666666666963e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.176470588235294379e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.186274509803921795e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.196078431372549211e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.205882352941176627e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.215686274509804043e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.225490196078431460e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.235294117647058876e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.245098039215686292e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.254901960784313708e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.264705882352941124e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.274509803921568540e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.284313725490195957e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.294117647058823373e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.303921568627450789e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.313725490196078205e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.323529411764705621e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.333333333333333037e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.343137254901960453e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.352941176470587870e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.362745098039215286e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.372549019607842702e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.382352941176470118e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.392156862745098644e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.401960784313726061e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.411764705882353477e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.421568627450980893e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.431372549019608309e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.441176470588235725e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.450980392156863141e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.460784313725490557e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.470588235294117974e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.480392156862745390e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.490196078431372806e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.500000000000000222e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.510000000000000231e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.520000000000000240e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.530000000000000249e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.540000000000000258e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.550000000000000266e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.560000000000000275e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.570000000000000284e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.580000000000000293e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.590000000000000302e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.600000000000000311e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.610000000000000320e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.620000000000000329e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.630000000000000338e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.640000000000000346e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.650000000000000355e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.660000000000000364e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.670000000000000373e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.680000000000000382e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.690000000000000391e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.700000000000000400e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.710000000000000409e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.720000000000000417e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.730000000000000426e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.740000000000000435e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.750000000000000444e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.760000000000000453e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.770000000000000462e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.780000000000000471e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.790000000000000480e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.799999999999999378e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.809999999999999387e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.819999999999999396e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.829999999999999405e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.839999999999999414e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.849999999999999423e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.859999999999999432e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.869999999999999440e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.879999999999999449e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.889999999999999458e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.899999999999999467e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.909999999999999476e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.919999999999999485e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.929999999999999494e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.939999999999999503e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.949999999999999512e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.959999999999999520e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.969999999999999529e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.979999999999999538e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.989999999999999547e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-6.999999999999999556e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.009999999999999565e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.019999999999999574e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.029999999999999583e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.039999999999999591e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.049999999999999600e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.059999999999999609e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.069999999999999618e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.079999999999999627e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.089999999999999636e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.099999999999999645e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.109859154929577540e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.119718309859154326e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.129577464788732222e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.139436619718309007e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.149295774647886903e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.159154929577464799e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.169014084507041584e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.178873239436619480e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.188732394366197376e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.198591549295774161e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.208450704225352057e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.218309859154928843e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.228169014084506738e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.238028169014084634e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.247887323943661420e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.257746478873239315e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.267605633802817211e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.277464788732393997e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.287323943661971892e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.297183098591548678e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.307042253521126574e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.316901408450704469e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.326760563380281255e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.336619718309859151e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.346478873239437046e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.356338028169013832e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.366197183098591728e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.376056338028168513e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.385915492957746409e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.395774647887324305e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.405633802816901090e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.415492957746478986e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.425352112676055771e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-7.435211267605633667e-01
