x,y,z,yaw
0,0,0,1.57000005245209
0.05,0,0.128,1.57000005245209
0.1,0,0.248,1.57000005245209
0.15,0,0.36,1.57000005245209
0.2,0,0.464,1.57000005245209
0.25,0,0.56,1.57000005245209
0.3,0,0.648,1.57000005245209
0.35,0,0.728,1.57000005245209
0.4,0,0.8,1.57000005245209
0.45,0,0.864,1.57000005245209
0.5,0,0.92,1.57000005245209
0.55,0,0.968,1.57000005245209
0.6,0,1.008,1.57000005245209
0.65,0,1.04,1.57000005245209
0.7,0,1.064,1.57000005245209
0.75,0,1.08,1.57000005245209
0.8,0,1.088,1.57000005245209
1.5,0,1.088,1.57000005245209
5.475,-0.325,1.088,1.57000005245209
7.5,0.4,1.088,1.57000005245209
8,0.4,0.55,1.57000005245209
8,0.4,0,1.57000005245209
