index,x,y,z,ray_x,ray_y,ray_z,min_distance
1,-0.002554911,0.036123236,0.03447585,0,0.690418949,-0.723409756,inf
1,-0.002554911,0.036123236,0.03447585,-0.258480932,0.657326261,-0.707891089,inf
1,-0.002554911,0.036123236,0.03447585,-0.499346817,0.579437876,-0.644130814,inf
1,-0.002554911,0.036123236,0.03447585,-0.70618304,0.462061756,-0.536474088,inf
1,-0.002554911,0.036123236,0.03447585,-0.864894057,0.313196892,-0.39225754,inf
1,-0.002554911,0.036123236,0.03447585,-0.964663973,0.142988177,-0.221309288,inf
1,-0.002554911,0.036123236,0.03447585,-0.998693633,-0.036964946,-0.035279175,inf
1,-0.002554911,0.036123236,0.03447585,-0.964663973,-0.214398969,0.153155156,inf
1,-0.002554911,0.036123236,0.03447585,-0.864894057,-0.377222057,0.331152217,inf
1,-0.002554911,0.036123236,0.03447585,-0.70618304,-0.514338084,0.4865818,inf
1,-0.002554911,0.036123236,0.03447585,-0.499346817,-0.616402822,0.608851639,inf
1,-0.002554911,0.036123236,0.03447585,-0.258480932,-0.676460726,0.689629244,inf
1,-0.002554911,0.036123236,0.03447585,-1.22E-16,-0.690418949,0.723409756,inf
1,-0.002554911,0.036123236,0.03447585,0.258480932,-0.657326261,0.707891089,inf
1,-0.002554911,0.036123236,0.03447585,0.499346817,-0.579437876,0.644130814,inf
1,-0.002554911,0.036123236,0.03447585,0.70618304,-0.462061756,0.536474088,inf
1,-0.002554911,0.036123236,0.03447585,0.864894057,-0.313196892,0.39225754,inf
1,-0.002554911,0.036123236,0.03447585,0.964663973,-0.142988177,0.221309288,inf
1,-0.002554911,0.036123236,0.03447585,0.998693633,0.036964946,0.035279175,inf
1,-0.002554911,0.036123236,0.03447585,0.964663973,0.214398969,-0.153155156,inf
1,-0.002554911,0.036123236,0.03447585,0.864894057,0.377222057,-0.331152217,inf
1,-0.002554911,0.036123236,0.03447585,0.70618304,0.514338084,-0.4865818,inf
1,-0.002554911,0.036123236,0.03447585,0.499346817,0.616402822,-0.608851639,inf
1,-0.002554911,0.036123236,0.03447585,0.258480932,0.676460726,-0.689629244,inf
2,-0.005109821,0.072246472,0.068951701,0,0.690418949,-0.723409756,inf
2,-0.005109821,0.072246472,0.068951701,-0.258480932,0.657326261,-0.707891089,inf
2,-0.005109821,0.072246472,0.068951701,-0.499346817,0.579437876,-0.644130814,inf
2,-0.005109821,0.072246472,0.068951701,-0.70618304,0.462061756,-0.536474088,inf
2,-0.005109821,0.072246472,0.068951701,-0.864894057,0.313196892,-0.39225754,inf
2,-0.005109821,0.072246472,0.068951701,-0.964663973,0.142988177,-0.221309288,inf
2,-0.005109821,0.072246472,0.068951701,-0.998693633,-0.036964946,-0.035279175,inf
2,-0.005109821,0.072246472,0.068951701,-0.964663973,-0.214398969,0.153155156,inf
2,-0.005109821,0.072246472,0.068951701,-0.864894057,-0.377222057,0.331152217,inf
2,-0.005109821,0.072246472,0.068951701,-0.70618304,-0.514338084,0.4865818,inf
2,-0.005109821,0.072246472,0.068951701,-0.499346817,-0.616402822,0.608851639,inf
2,-0.005109821,0.072246472,0.068951701,-0.258480932,-0.676460726,0.689629244,inf
2,-0.005109821,0.072246472,0.068951701,-1.22E-16,-0.690418949,0.723409756,inf
2,-0.005109821,0.072246472,0.068951701,0.258480932,-0.657326261,0.707891089,inf
